group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
1,1,25.0728862973761,27.1970012494794,23.8234069137859,23.9067055393586,0.0508445945945946,0.0531758957654723,0.0539622641509434,0.0496539792387543,296,307,265,289
1,2,21.5743440233236,24.1566014160766,28.5714285714286,25.6976259891712,0.0605140186915888,0.0650224215246637,0.0758849557522124,0.0642708333333333,214,223,226,240
1,3,24.1149521032903,26.905456059975,28.4048313202832,20.5747605164515,0.0608193277310924,0.0696120689655172,0.0811904761904762,0.0553811659192825,238,232,210,223
1,4,25.1145356101624,25.1978342357351,27.1970012494794,22.4906289046231,0.0605421686746988,0.0558118081180812,0.0625478927203065,0.0569620253164557,249,271,261,237
1,5,25.6559766763848,24.8229904206581,25.6143273635985,23.9067055393586,0.054416961130742,0.0532142857142857,0.0571561338289963,0.0523722627737226,283,280,269,274
1,6,27.7384423157018,23.2819658475635,26.1974177426072,22.7821740941274,0.0605454545454545,0.0508181818181818,0.0714772727272727,0.0488392857142857,275,275,220,280
1,7,27.030403998334,22.6155768429821,26.7388588088297,23.6151603498542,0.0631322957198443,0.0540836653386454,0.0806532663316583,0.063,257,251,199,225
1,8,22.7405247813411,24.4897959183673,27.3219491878384,25.4477301124531,0.0535294117647058,0.0578740157480315,0.0621212121212121,0.05966796875,255,254,264,256
1,9,25.6559766763848,26.9471053727613,24.7396917950854,22.6572261557684,0.0540350877192982,0.0520096463022508,0.0575581395348837,0.0482269503546099,285,311,258,282
1,10,29.5293627655144,21.1162015826739,26.0724698042482,23.2819658475635,0.0656481481481481,0.0499015748031496,0.0606589147286821,0.0497330960854092,270,254,258,281
1,11,25.8642232403165,21.3244481466056,24.6563931695127,28.1549354435652,0.053167808219178,0.0475836431226766,0.0552238805970149,0.0599290780141844,292,269,268,282
1,12,23.7401082882132,25.4893794252395,27.4885464389838,23.2819658475635,0.0556640625,0.0662337662337662,0.0681818181818182,0.0552371541501976,256,231,242,253
1,13,23.0737192836318,28.1965847563515,27.5718450645564,21.1578508954602,0.0551792828685259,0.0633895131086142,0.0656746031746032,0.0564444444444444,251,267,252,225
1,14,26.4056643065389,25.5310287380258,26.5722615576843,21.4910453977509,0.0568100358422939,0.0528448275862069,0.0563604240282685,0.0486792452830188,279,290,283,265
1,15,23.2403165347772,27.6967930029155,27.7800916284881,21.2827988338192,0.053041825095057,0.0622659176029962,0.0675101214574899,0.0541313559322034,263,267,247,236
1,16,24.1149521032903,26.8221574344023,25.4060807996668,23.6568096626406,0.0621244635193133,0.066804979253112,0.0663043478260869,0.0594142259414226,233,241,230,239
1,17,32.4864639733444,22.0741357767597,24.323198667222,21.1162015826739,0.078,0.0568669527896995,0.0598360655737705,0.0541666666666667,250,233,244,234
1,18,33.7359433569346,20.5747605164515,25.2394835485214,20.4498125780925,0.0928899082568807,0.0558823529411764,0.0688636363636363,0.0623096446700508,218,221,220,197
1,19,27.155351936693,24.4064972927947,28.4881299458559,19.9500208246564,0.0665306122448979,0.0600409836065574,0.0773755656108597,0.0564858490566037,245,244,221,212
1,20,29.362765514369,23.6984589754269,24.8646397334444,22.0741357767597,0.0725308641975309,0.0592708333333333,0.0637820512820512,0.0625,243,240,234,212
1,21,24.2815493544357,25.8225739275302,26.3640149937526,23.5318617242815,0.0560576923076923,0.0587121212121212,0.0613372093023256,0.0556102362204724,260,264,258,254
1,22,23.9483548521449,24.073302790504,28.4048313202832,23.5735110370679,0.0555019305019305,0.0523550724637681,0.0650763358778626,0.0554901960784313,259,276,262,255
1,23,25.2811328613078,25.9891711786756,30.2374010828821,18.4922948771345,0.0609437751004016,0.0597701149425287,0.0740816326530612,0.048471615720524,249,261,245,229
1,24,24.448146605581,25.4477301124531,28.4464806330696,21.6576426488963,0.0589357429718875,0.0620934959349593,0.0699795081967213,0.0541666666666666,249,246,244,240
1,25,24.57309454394,26.6972094960433,24.8646397334444,23.8650562265723,0.04609375,0.0468567251461988,0.0476837060702875,0.0454761904761904,320,342,313,315
1,26,24.3648479800083,24.6147438567264,28.0716368179925,22.9487713452728,0.0582669322709163,0.0620798319327731,0.0769406392694064,0.0544466403162055,251,238,219,253
1,27,25.6559766763848,26.1141191170346,25.0728862973761,23.1570179092045,0.0557971014492753,0.0510586319218241,0.0563670411985018,0.0512915129151291,276,307,267,271
1,28,23.8650562265723,26.4889629321116,25.0312369845898,24.6147438567264,0.0663194444444444,0.0668067226890756,0.061577868852459,0.0593373493975903,216,238,244,249
1,29,23.6984589754269,25.4893794252395,27.1970012494794,23.6151603498542,0.0590248962655601,0.0634854771784232,0.0781100478468899,0.0712311557788945,241,241,209,199
1,30,25.9058725531029,24.4897959183673,26.9887546855477,22.6155768429821,0.0496805111821086,0.0536496350364963,0.0501547987616099,0.0460169491525423,313,274,323,295
2,1,24.698042482299,29.4460641399417,24.198250728863,21.6576426488963,0.048766447368421,0.0537234042553191,0.0489057239057239,0.0448275862068965,304,329,297,290
2,2,23.5735110370679,27.8633902540608,25.7392753019575,22.8238234069138,0.0640271493212669,0.0663690476190476,0.0633196721311475,0.0524904214559387,221,252,244,261
2,3,25.7392753019575,26.1557684298209,27.6967930029155,20.4081632653061,0.0598837209302325,0.0550877192982456,0.0575259515570934,0.0519067796610169,258,285,289,236
2,4,23.4069137859225,27.0720533111204,27.8217409412745,21.6992919616826,0.0548828125,0.0615530303030303,0.0596428571428571,0.050484496124031,256,264,280,258
2,5,24.9895876718034,24.0316534777176,24.8646397334444,26.1141191170346,0.0505050505050505,0.0487331081081081,0.050938566552901,0.0512254901960784,297,296,293,306
2,6,26.8638067471887,24.3648479800083,25.7809246147439,22.9904206580591,0.052016129032258,0.0502577319587628,0.0519295302013422,0.0442307692307692,310,291,298,312
2,7,24.4897959183673,24.6563931695127,28.1549354435652,22.6988754685548,0.0503424657534246,0.0510344827586207,0.0597173144876325,0.0516098484848485,292,290,283,264
2,8,23.4485630987089,27.5718450645564,25.2811328613078,23.6984589754269,0.0449680511182108,0.0486764705882353,0.0509228187919463,0.047734899328859,313,340,298,298
2,9,27.1137026239067,23.4902124114952,27.6967930029155,21.6992919616826,0.0565104166666666,0.0473154362416107,0.0569349315068493,0.0447594501718213,288,298,292,291
2,10,28.2798833819242,23.4485630987089,25.1561849229488,23.1153685964182,0.0679,0.0551960784313725,0.0571969696969697,0.0523584905660377,250,255,264,265
2,11,25.8225739275302,25.1561849229488,24.073302790504,24.9479383590171,0.0534482758620689,0.0477848101265822,0.0476897689768977,0.0511092150170648,290,316,303,293
2,12,23.9900041649313,26.0724698042482,25.8225739275302,24.1149521032903,0.0547528517110266,0.0518211920529801,0.0576208178438661,0.0540111940298507,263,302,269,268
2,13,23.2819658475635,29.362765514369,25.8642232403165,21.4910453977509,0.0508181818181818,0.0579769736842105,0.0570772058823529,0.0462365591397849,275,304,272,279
2,14,25.7809246147439,25.2394835485214,26.0724698042482,22.9071220324865,0.0609251968503937,0.0559040590405904,0.0564981949458483,0.0532945736434108,254,271,277,258
2,15,26.6139108704706,24.9062890462307,25.7392753019575,22.7405247813411,0.0600563909774436,0.0545620437956204,0.0598837209302325,0.0525,266,274,258,260
2,16,27.4052478134111,25.2394835485214,27.155351936693,20.1999167013744,0.0768691588785047,0.0658695652173913,0.079126213592233,0.0563953488372093,214,230,206,215
2,17,26.7388588088297,24.6147438567264,23.3236151603499,25.3227821740941,0.0527960526315789,0.0529569892473118,0.0588235294117647,0.0558823529411764,304,279,238,272
2,18,28.4881299458559,23.5735110370679,24.8646397334444,23.0737192836318,0.0802816901408451,0.0602127659574468,0.065174672489083,0.0579497907949791,213,235,229,239
2,19,27.6134943773428,23.9067055393586,26.0308204914619,22.4489795918367,0.0579545454545454,0.0493127147766323,0.0605620155038759,0.0522286821705426,286,291,258,258
2,20,27.9883381924198,25.6976259891712,25.7809246147439,20.5331112036651,0.0613138686131387,0.0573420074349442,0.0566849816849817,0.0509297520661157,274,269,273,242
2,21,23.9900041649313,26.4473136193253,27.0720533111204,22.4906289046231,0.0523636363636363,0.0549307958477508,0.0562283737024221,0.0496323529411764,275,289,289,272
2,22,25.4893794252395,22.8238234069138,28.6963765097876,22.9904206580591,0.0516891891891892,0.0479020979020979,0.0555645161290322,0.0446601941747573,296,286,310,309
2,23,27.4052478134111,23.9067055393586,26.530612244898,22.1574344023324,0.0611524163568773,0.0476744186046511,0.0527317880794702,0.0457044673539519,269,301,302,291
2,24,23.6151603498542,26.3640149937526,26.2390670553936,23.7817576009996,0.0543103448275862,0.0581801470588235,0.05625,0.0487201365187713,261,272,280,293
2,25,24.9062890462307,25.6143273635985,24.5314452311537,24.9479383590171,0.0433333333333333,0.0504098360655737,0.0473472668810289,0.0440441176470588,345,305,311,340
2,26,24.8229904206581,25.2394835485214,26.780508121616,23.1570179092045,0.0506802721088435,0.0539145907473309,0.0568021201413427,0.0491166077738516,294,281,283,283
2,27,25.2394835485214,24.448146605581,27.1970012494794,23.1153685964182,0.0467592592592592,0.0478013029315961,0.0518253968253968,0.0495535714285714,324,307,315,280
2,28,24.0316534777176,29.2794668887963,22.1990837151187,24.4897959183673,0.0495704467353952,0.0587792642140468,0.0535140562248996,0.0508650519031142,291,299,249,289
2,29,26.1974177426072,25.6143273635985,25.2811328613078,22.9071220324865,0.0573905109489051,0.0541373239436619,0.0659782608695652,0.0535019455252918,274,284,230,257
2,30,26.4056643065389,24.7813411078717,26.5722615576843,22.240733027905,0.0489197530864197,0.0520104895104895,0.0504746835443038,0.044059405940594,324,286,316,303
